name,auc_mean,auc_std,accuracy_mean,accuracy_std,auc_pooled_oof_naive,auc_subject_level_oof,ece,brier,n_folds
en_demo,0.769925925925926,0.07133557418526094,0.6892720306513412,0.08353790893170189,0.7490824157490824,0.7635135135135135,0.1163593430391426,0.2199958588038188,15
en_edges,0.7702222222222221,0.07171411004988429,0.6802298850574714,0.08688540138073829,0.7488321654988321,0.7637012012012012,0.11821883259706746,0.22037958759146495,15
top20_SAFE_raw,0.6862645502645501,0.07953746076509476,0.6366283524904215,0.08610606278273383,0.6902527527527528,0.722972972972973,0.05034576320104069,0.22832115803209022,15
top20_SAFE_FDresid,0.6467089947089947,0.10713558222084843,0.6252107279693487,0.10265293807511638,0.6411411411411412,0.664039039039039,0.06529744464840093,0.23706394812441003,15
en_edges_FDresid,0.6938835978835979,0.10438852601076333,0.6343295019157087,0.09230666735355988,0.6807849516182849,0.6914414414414415,0.08055528918422607,0.23270162828681207,15
